X_Minimum,X_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Length_of_Conveyer,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,SigmoidOfAreas
1324,1333,659,61,91,60260,89,1356,0.0862,0.4622,0.0962,0.0074,0.3111,0.8868,1.0,2.8048,1.0,1.9445,0.9039,0.99
1343,1351,74,16,12,8851,108,1687,0.4326,0.268,1.0,0.0071,0.75,1.0,0.5,1.8692,1.0792,1.0792,0.0,0.2583
41,210,6276,252,138,647595,43,1356,0.0605,0.4401,0.3954,0.1268,0.6693,0.5,0.0,3.7958,2.2355,1.8451,-0.6047,1.0
525,585,155,20,21,15572,97,1354,0.7778,0.2546,0.9375,0.011,0.75,1.0,1.0,2.1903,1.1761,1.3222,0.0625,0.3977
505,522,114,12,13,13135,109,1360,0.7426,0.3222,0.7647,0.0052,0.5833,1.0,1.0,2.0569,0.8451,1.1139,0.2353,0.2739
13,21,184,20,22,19901,97,1687,0.0216,0.25,0.55,0.0053,0.45,1.0,1.0,2.2648,0.9542,1.301,0.45,0.3663
757,766,207,47,29,22761,111,1356,0.8468,0.5322,0.3462,0.0096,0.3256,0.9565,1.0,2.316,1.1139,1.4624,0.6539,0.7079
10,22,147,20,26,16571,108,1352,0.0177,0.42,0.3333,0.0074,0.6,1.0,1.0,2.1673,1.0,1.3802,0.6667,0.3601
41,215,16220,696,480,1976551,28,1402,0.0585,0.5019,0.8841,0.1285,0.2629,0.3857,0.0,4.2101,2.2406,2.233,-0.1159,1.0
2,10,114,20,17,12284,87,1356,0.0188,0.4929,0.5,0.0059,0.4,0.9474,1.0,2.0569,0.9031,1.1761,0.5,0.2792
129,157,536,38,51,53480,84,1356,0.1792,0.4189,0.2759,0.014,0.2712,0.9216,1.0,2.749,1.2787,1.6721,0.7241,0.9491
1065,1084,133,33,31,16571,103,1360,0.4595,0.6414,0.5,0.0147,0.6452,0.5385,0.0,2.1239,1.301,1.2553,-0.5,0.8299
1078,1098,133,25,15,14830,100,1368,0.4106,0.2051,0.7895,0.015,0.76,1.0,0.0,2.1239,1.2787,1.1461,-0.2105,0.374
867,878,167,18,27,19974,106,1362,0.7332,0.3416,0.3333,0.0059,0.4444,1.0,1.0,2.2227,0.9031,1.4314,0.6667,0.4025
387,403,125,17,13,16692,70,1690,0.4564,0.5714,0.8571,0.0103,0.8235,0.9231,0.0,2.0969,1.1461,1.0792,-0.1429,0.2901
789,797,34,11,9,3553,123,1358,0.9377,0.2361,0.8889,0.0059,0.7273,1.0,0.0,1.5315,0.9031,0.9542,-0.1111,0.1773
6,17,111,13,26,12587,93,1690,0.1227,0.3864,0.5454,0.0065,0.8461,1.0,1.0,2.0453,1.0414,1.415,0.4545,0.3882
462,472,264,25,30,30966,53,1690,0.6775,0.4889,0.4,0.0089,0.4615,1.0,1.0,2.4216,1.0792,1.4771,0.6,0.5951
1321,1332,414,57,56,41476,78,1362,0.0325,0.5577,0.1837,0.0088,0.2105,1.0,1.0,2.617,1.0792,1.7404,0.8163,0.9747
41,194,5702,182,108,601643,47,1402,0.0604,0.3431,0.3512,0.1106,0.8461,0.4746,0.0,3.756,2.1903,1.8129,-0.6489,1.0
1205,1216,53,15,14,5464,178,1354,0.1941,0.25,0.5714,0.0066,0.6667,1.0,1.0,1.7243,0.9542,1.1461,0.4286,0.1852
39,210,6277,257,87,633606,91,1358,0.0575,0.4235,0.4193,0.1244,0.5484,0.5,0.0,3.7946,2.2279,1.8129,-0.5806,1.0
39,191,11941,696,425,1320194,26,1400,0.0558,0.6021,0.9942,0.1064,0.2266,0.3511,0.0,4.0376,2.1732,2.2175,-0.0058,1.0
765,774,59,9,12,6682,77,1360,0.3613,0.3571,0.28,0.0052,0.7778,1.0,1.0,1.7708,0.8451,1.0792,0.72,0.1892
1299,1306,57,13,14,6657,97,1353,0.1021,0.4086,0.4286,0.0052,0.5385,1.0,1.0,1.7559,0.8451,1.1461,0.5714,0.2195
501,522,200,31,25,22991,91,1356,0.2759,0.6111,0.4,0.0157,0.8061,0.5333,0.0,2.301,1.415,1.301,-0.6,0.8355
39,212,6525,263,143,686356,42,1356,0.0602,0.4563,0.3974,0.1276,0.6387,0.4545,0.0,3.8146,2.238,1.7924,-0.6026,1.0
1277,1288,55,12,19,5577,89,1353,0.4586,0.24,0.5385,0.0081,0.9167,1.0,1.0,1.7404,1.0414,1.2787,0.4615,0.1965
39,216,6430,247,124,654358,36,1358,0.0574,0.5253,0.3846,0.1303,0.7172,0.5245,0.0,3.8049,2.248,1.8389,-0.6154,1.0
41,182,3811,175,96,427024,65,1360,0.0604,0.3972,0.3837,0.1047,0.7472,0.4963,0.0,3.5884,2.1523,1.7993,-0.6163,1.0
1677,1686,91,10,15,5608,57,1692,0.0024,0.3583,0.6667,0.0047,0.8,1.0,1.0,1.959,0.9031,1.1761,0.3333,0.266
973,983,111,13,13,11890,82,1364,0.8331,0.3235,0.9167,0.0081,0.8461,0.9231,0.0,2.0453,1.0414,1.0792,-0.0833,0.2583
21,39,211,26,28,21326,92,1356,0.0222,0.3554,0.4286,0.0096,0.5385,1.0,1.0,2.3243,1.1139,1.4472,0.5714,0.6514
1260,1271,194,28,28,21661,105,1358,0.1277,0.5255,0.3571,0.0088,0.4286,0.9643,1.0,2.2856,1.0792,1.4472,0.6429,0.6693
1563,1587,744,99,60,86830,77,1698,0.1237,0.4946,0.5714,0.0199,0.3636,0.8,1.0,2.8716,1.5185,1.7708,0.4286,0.9998
112,127,210,36,22,23155,97,1353,0.1779,0.4427,0.7619,0.0155,0.4533,0.8636,1.0,2.3222,1.3222,1.2787,0.2381,0.6868
325,361,219,37,29,25491,111,1373,0.4537,0.5876,0.6429,0.0148,0.5278,0.8261,1.0,2.3404,1.301,1.4314,0.3571,0.7933
41,191,10743,639,388,1084425,33,1400,0.0586,0.5815,0.8409,0.1077,0.2459,0.4471,1.0,4.0366,2.179,2.2304,0.1591,1.0
43,198,5877,188,106,645839,45,1358,0.0633,0.5849,0.6316,0.1156,0.7707,0.5391,0.0,3.7646,2.1959,1.7708,-0.3684,1.0
118,134,145,38,35,19189,102,1356,0.1856,0.4267,0.7143,0.0118,0.4211,0.9714,1.0,2.1614,1.2041,1.5315,0.2857,0.6268
1245,1254,93,15,11,10797,101,1362,0.5521,0.3636,0.9167,0.0088,0.8,1.0,0.0,1.9685,1.0792,1.0414,-0.0833,0.2432
498,509,112,20,28,12693,106,1354,0.6773,0.5625,0.25,0.0066,0.5,1.0,1.0,2.0492,0.9542,1.4472,0.75,0.3197
39,216,6763,263,135,706929,38,1358,0.0574,0.4403,0.3841,0.1303,0.673,0.4963,0.0,3.8301,2.248,1.8261,-0.6159,1.0
1625,1634,59,16,12,4834,81,1692,0.0531,0.4267,0.8333,0.0059,0.625,1.0,1.0,1.7708,1.0,1.0792,0.1667,0.2288
1036,1051,114,15,15,11430,67,1690,0.4686,0.2083,0.5333,0.0083,0.7333,1.0,1.0,2.0569,1.1461,1.1761,0.4667,0.2288
974,980,652,56,52,66181,85,1360,0.8473,0.6414,0.2632,0.0277,0.7471,0.5652,0.0,2.8122,1.5185,1.6233,-0.7368,0.9985
119,127,68,29,19,8586,118,1358,0.2485,0.4815,0.6667,0.0131,0.6207,0.9474,0.0,1.8325,1.2553,1.2553,-0.3333,0.215
1202,1216,124,18,15,15572,84,1632,0.0619,0.3667,0.9333,0.0096,0.7222,1.0,1.0,2.0934,1.1139,1.1761,0.0667,0.3509
39,214,6532,276,142,649801,41,1356,0.0574,0.4129,0.3943,0.1274,0.5273,0.5714,0.0,3.8006,2.238,1.8195,-0.6057,1.0
5,13,105,21,13,10685,90,1358,0.0205,0.3566,0.6923,0.0053,0.4286,1.0,1.0,2.0212,0.9542,1.1139,0.3077,0.2253
489,494,135,17,11,12235,80,1686,0.4846,0.3167,0.8571,0.0066,0.8235,1.0,0.0,2.1303,1.0414,1.0414,-0.1429,0.2901
1068,1085,66,25,12,5695,86,1366,0.4144,0.2857,0.9091,0.0199,1.0,0.9167,0.0,1.8451,1.4314,1.0414,-0.0909,0.2532
1427,1455,18,14,5,2274,117,1652,0.2312,0.4667,0.8333,0.0073,0.8571,0.8,0.0,1.2553,1.0792,0.699,-0.1667,0.1449
951,95,67,18,7,8685,144,1692,0.9269,0.4182,0.6818,0.0109,0.9444,0.8571,0.0,1.8415,1.2553,0.699,-0.3182,0.215
791,833,81,26,6,9778,93,1692,0.972,0.5702,0.4348,0.0136,0.9583,0.8333,0.0,1.9085,1.3617,1.0,-0.5652,0.3819
476,490,313,53,37,29386,76,1362,0.0354,0.3542,0.2045,0.0103,0.2571,1.0,1.0,2.4955,1.1461,1.5682,0.7954,0.8705
1162,1174,353,48,46,37930,87,1352,0.2227,0.2955,0.3,0.0081,0.2381,1.0,1.0,2.5478,1.0414,1.6628,0.7,0.8612
39,181,150,178,41,16920,41,1356,0.0544,0.4556,0.3438,0.0975,0.8298,0.5191,0.0,2.1761,2.1271,1.4314,-0.6563,1.0
581,590,101,21,27,11608,109,1364,0.8203,0.4211,0.2857,0.0066,0.381,0.6154,1.0,2.0043,0.9542,1.4472,0.7143,0.3097
1625,1628,54,10,14,6167,98,1354,0.0325,0.449,0.5,0.0052,0.5,1.0,1.0,1.7324,0.8451,1.1461,0.5,0.204
1160,1171,110,12,12,11425,73,1354,0.3348,0.2857,0.9167,0.0088,1.0,1.0,0.0,2.0414,1.0792,1.0792,-0.0833,0.2432
39,216,7017,275,134,723789,36,1358,0.0574,0.4417,0.3785,0.1303,0.673,0.5285,0.0,3.8461,2.248,1.8261,-0.6215,1.0
1582,1594,101,17,29,13987,110,1358,0.4569,0.5457,0.7059,0.0111,0.8421,1.0,1.0,2.0043,1.1761,1.4624,0.2941,0.3494
763,772,59,10,7,6682,108,1690,0.8147,0.175,0.8,0.006,0.8,1.0,0.0,1.7708,1.0,0.8451,-0.2,0.1892
1034,1055,204,31,25,21661,68,1364,0.3632,0.6357,0.7,0.0147,0.6809,0.7,0.0,2.3096,1.301,1.301,-0.3,0.7147
1109,1134,211,38,27,20570,74,1353,0.3573,0.4024,0.9643,0.0236,0.6274,0.8148,1.0,2.3243,1.5051,1.4314,0.0357,0.8299
834,884,35,22,6,4606,109,1650,0.8395,0.452,0.1364,0.0139,1.0,0.8333,0.0,1.5441,1.3617,0.699,-0.8636,0.1706
1376,1388,110,13,20,11126,81,1630,0.0459,0.3125,0.4,0.0059,0.6154,0.9,1.0,2.0414,0.9031,1.301,0.6,0.2792
1539,1562,101,14,17,13355,78,1650,0.1165,0.2739,0.7059,0.0103,0.8571,1.0,1.0,2.0043,1.2305,1.2305,0.2941,0.3419
1374,1382,85,15,13,8457,80,1692,0.5089,0.3278,0.9231,0.0077,0.8667,1.0,1.0,1.9294,1.1139,1.1139,0.0769,0.215
7,19,163,13,27,16217,98,1687,0.9164,0.4195,0.3636,0.0041,0.5385,1.0,1.0,2.2122,0.8451,1.4314,0.6364,0.3834
1212,1220,6,6,3,775,107,1358,0.2047,0.3333,0.75,0.0044,1.0,1.0,0.0,0.7782,0.7782,0.4771,-0.25,0.1262
39,51,145,20,24,17419,115,1358,0.0576,0.3549,0.5454,0.0081,0.55,0.9167,1.0,2.1614,1.0414,1.3424,0.4545,0.4366
24,32,106,13,13,10152,81,1356,0.0362,0.3036,0.9231,0.0074,0.7692,1.0,1.0,2.0253,1.0,1.1139,0.0769,0.2739
1088,1101,64,16,8,6902,121,1352,0.2887,0.3636,0.7,0.0044,0.625,0.75,0.0,1.8062,0.7782,0.9031,-0.3,0.2432
614,622,63,11,9,6994,86,1694,0.9231,0.3688,0.8,0.006,0.9091,0.8889,0.0,1.7993,1.0,0.9031,-0.2,0.1773
9,18,52,11,11,6481,97,1356,0.0133,0.2727,0.6364,0.0052,0.6364,1.0,1.0,1.716,0.8451,1.0414,0.3636,0.1822
1565,1583,5702,126,201,516343,63,1666,0.0972,0.4401,0.2308,0.0117,0.3962,0.9902,1.0,3.756,1.2041,2.3075,0.7692,1.0
1190,1219,935,161,88,117325,118,1362,0.2231,0.5718,0.4193,0.0382,0.3165,0.5,1.0,2.9207,1.716,1.6902,0.5806,0.9999
732,756,128,23,17,13352,84,1356,0.8331,0.4882,0.7857,0.0103,0.6087,0.7059,0.0,2.1072,1.1461,1.1461,-0.2143,0.417
39,194,12729,699,387,1487763,38,1402,0.0556,0.4717,0.9576,0.1084,0.2203,0.3511,0.0,4.1084,2.1818,2.1703,-0.0424,1.0
981,992,66,8,10,7519,93,1688,0.7338,0.175,0.8,0.0047,1.0,1.0,1.0,1.8195,0.9031,1.0,0.2,0.1852
14,24,116,16,14,13961,80,1652,0.0103,0.25,0.5714,0.0074,0.625,1.0,1.0,2.0645,1.0,1.1461,0.4286,0.2195
19,24,76,9,12,12593,107,1358,0.0665,0.3571,0.4,0.0051,0.7778,1.0,1.0,1.8808,0.8451,1.0792,0.6,0.2432
19,24,102,15,30,8558,44,1354,0.0266,0.3875,0.2667,0.0044,0.4,1.0,1.0,2.0086,0.7782,1.4771,0.7333,0.286
0,9,114,13,20,11382,71,1358,0.1489,0.34,0.5,0.0087,0.9231,1.0,1.0,2.0569,1.0792,1.301,0.5,0.3359
41,214,6176,307,140,639433,46,1356,0.0605,0.4636,0.3988,0.1276,0.5767,0.4615,0.0,3.7907,2.238,1.8261,-0.6012,1.0
1325,1334,126,13,20,13334,90,1364,0.0651,0.3278,0.45,0.0066,0.6923,1.0,1.0,2.1004,0.9542,1.301,0.55,0.3068
803,825,118,14,14,11397,91,1690,0.979,0.2915,0.9286,0.0089,0.9286,0.9286,1.0,2.0719,1.0792,1.1139,0.0714,0.3097
923,941,270,35,48,348957,101,1362,0.6483,0.2052,0.1035,0.0096,0.3636,1.0,1.0,2.4314,1.1139,1.6812,0.8965,0.8705
1338,1347,71,13,12,8943,97,1654,0.2801,0.2333,0.75,0.0066,0.6923,1.0,1.0,1.8513,0.9542,1.0792,0.25,0.257
20,31,205,24,26,14369,55,1648,0.0369,0.4368,0.3077,0.0071,0.5,1.0,1.0,2.3117,1.0792,1.415,0.6923,0.4564
41,215,16052,796,469,1847464,21,1400,0.0586,0.5249,0.9157,0.1289,0.2832,0.4737,0.0,4.2085,2.243,2.2553,-0.0843,1.0
41,230,11535,675,452,1431766,35,1400,0.0557,0.8888,0.9448,0.133,0.2394,0.3375,0.0,4.062,2.2695,2.2553,-0.0553,1.0
688,696,108,20,17,18361,114,1360,0.7204,0.4,0.5333,0.0074,0.6,0.9412,1.0,2.0334,1.0,1.2041,0.4667,0.3509
897,925,318,51,49,39911,117,1394,0.7709,0.4462,0.1918,0.0137,0.2941,0.9796,1.0,2.5024,1.2787,1.6812,0.8082,0.7359
1617,1629,182,26,21,14689,70,1690,0.0877,0.4221,0.5238,0.0065,0.4231,1.0,1.0,2.2601,1.0414,1.3222,0.4762,0.3834
1595,1611,836,72,87,97183,109,1698,0.0722,0.4433,0.2292,0.0071,0.2445,0.9858,1.0,2.9671,1.0792,1.9685,0.7712,1.0
194,214,56,25,7,7451,120,1354,0.2863,0.4514,0.5385,0.0096,0.52,1.0,0.0,1.7482,1.1139,0.8451,-0.4615,0.1965
438,455,780,90,72,56864,80,1687,0.6481,0.4022,0.3432,0.0148,0.3771,1.0,1.0,2.8976,1.3979,1.8513,0.6568,0.9994
1625,1634,77,15,12,8495,61,1688,0.0638,0.3636,0.9167,0.0065,0.7333,1.0,1.0,1.8865,1.0414,1.0792,0.0833,0.2432
1172,1188,52,20,12,7747,119,1464,0.2022,0.3155,0.6522,0.0162,0.7,0.6667,0.0,1.716,1.3424,0.9031,-0.3478,0.3125
557,567,57,10,8,6543,92,1624,0.6761,0.15,0.8,0.0049,0.8,1.0,1.0,1.7559,0.9031,0.9031,0.2,0.1852
1688,1694,242,16,36,24697,24,1698,0.0047,0.251,0.1667,0.0059,0.4375,1.0,1.0,2.3856,1.0,1.5563,0.8333,0.5822
15,24,515,48,60,48793,68,1687,0.0047,0.2867,0.2,0.0059,0.3333,1.0,1.0,2.749,1.0,1.7781,0.8,0.9779
1063,1071,74,12,18,6481,89,1688,0.6647,0.2341,0.4444,0.0066,0.75,1.0,1.0,1.8692,0.9542,1.2553,0.5556,0.2583
614,622,56,29,11,60260,109,1364,0.9164,0.6168,0.4,0.0155,0.5938,0.7273,0.0,1.7482,1.3222,0.9031,-0.6,0.2469
484,555,353,40,52,34230,85,1356,0.7,0.5487,0.9048,0.031,0.8095,0.9615,1.0,2.5478,1.6233,1.699,0.0952,0.9747
39,214,13203,805,503,1567858,25,1400,0.0557,0.494,0.9459,0.125,0.2174,0.3678,0.0,4.1207,2.243,2.238,-0.054,1.0
0,14,194,28,17,23488,110,1356,0.0,0.5454,0.5714,0.0117,0.6429,0.5454,0.0,2.2856,1.2041,1.0792,-0.4286,0.4366
1145,1157,111,14,12,12693,84,1358,0.301,0.2083,1.0,0.0088,0.8571,1.0,0.5,2.0453,1.0792,1.0792,0.0,0.2583
893,902,82,14,11,8388,65,1356,0.8357,0.2525,0.8182,0.0066,0.7857,1.0,1.0,1.9138,1.0414,1.0414,0.1818,0.2051
118,128,128,18,20,14912,101,1687,0.1396,0.3864,0.55,0.0065,0.6111,1.0,1.0,2.1072,1.0414,1.301,0.45,0.2792
418,418,17,7,4,2127,109,1360,0.5965,0.4286,0.5714,0.0052,1.0,1.0,0.0,1.2305,0.8451,0.6021,-0.4286,0.1384
1224,1248,383,36,22,43294,80,1364,0.2101,0.3636,0.9545,0.0161,0.5789,0.8636,1.0,2.5832,1.3424,1.3424,0.0455,0.8749
1588,1610,112,12,15,11126,85,1692,0.1183,0.1736,1.0,0.0089,1.0,1.0,0.5,2.0492,1.0792,1.1761,0.0,0.2583
1164,1171,390,43,51,4019,63,1373,0.4144,0.2356,0.3846,0.0088,0.3088,1.0,1.0,2.5911,1.0792,1.7076,0.6154,0.9537
41,214,6827,274,131,701946,38,1358,0.0604,0.4433,0.3815,0.1274,0.6268,0.5114,0.0,3.8342,2.238,1.8261,-0.6185,1.0
1063,1085,146,28,19,16566,90,1690,0.7232,0.2357,0.9474,0.019,1.0,0.8824,0.0,2.1644,1.3424,1.2553,-0.0526,0.4366
43,218,7003,252,138,734568,40,1356,0.0633,0.42,0.3943,0.1291,0.6944,0.5,0.0,3.8453,2.243,1.8389,-0.6057,1.0
1051,1064,240,24,23,27035,125,1372,0.4106,0.5029,0.5454,0.0132,0.5833,0.8461,1.0,2.3802,1.2553,1.3424,0.4545,0.6268
1134,1145,184,18,22,18416,84,1362,0.3237,0.2727,0.5454,0.0088,0.7222,1.0,1.0,2.2648,1.0792,1.3424,0.4545,0.4366
1049,1059,39,10,7,4552,89,1687,0.7516,0.2031,1.0,0.0047,0.8,1.0,0.5,1.5911,0.9031,0.8451,0.0,0.1696
1123,1142,39,22,5,4606,118,1650,0.4032,0.4815,0.4,0.013,0.9643,0.5714,0.0,1.5911,1.3424,0.6021,-0.6,0.156
49,62,304,30,32,34142,106,1356,0.071,0.4089,0.375,0.0088,0.4,1.0,1.0,2.4829,1.0792,1.5051,0.625,0.633
965,976,147,20,29,16680,109,1372,0.7118,0.3536,0.2692,0.0095,0.75,0.9412,1.0,2.1644,1.1139,1.4624,0.7308,0.4729
1551,1576,116,28,17,16579,116,1664,0.1103,0.2798,0.4118,0.015,0.9643,0.7059,0.0,2.0645,1.3979,1.0,-0.5882,0.2928
1031,1056,170,32,19,18720,97,1358,0.1182,0.6042,0.7059,0.0161,0.8649,0.8421,0.0,2.2304,1.3424,1.2305,-0.2941,0.6619
1101,1119,68,23,10,8485,111,1648,0.264,0.5215,0.3333,0.0161,0.5789,0.9,0.0,1.8325,1.3424,0.9542,-0.6667,0.2018
1283,1297,289,18,39,35410,128,1387,0.1057,0.2702,0.2647,0.0079,0.6111,1.0,1.0,2.4609,1.0414,1.5315,0.7353,0.8513
39,216,7038,257,128,711671,43,1358,0.4067,0.4433,0.3543,0.1291,0.6693,0.5303,0.0,3.8475,2.243,1.7404,-0.6457,1.0
1223,1258,822,49,64,53525,55,1353,0.2324,0.7059,0.5511,0.014,0.7308,0.5294,0.0,2.9207,1.2787,1.6021,-0.4489,0.9905
1372,1378,59,13,11,4664,84,1690,0.4436,0.4276,0.8182,0.0053,0.6923,1.0,1.0,1.7708,0.9542,1.0414,0.1818,0.2051
501,526,495,91,83,46972,82,1353,0.7156,0.5876,0.3659,0.0303,0.4359,0.9592,1.0,2.6929,1.6128,1.9395,0.6342,0.9979
1094,1109,114,11,14,11447,64,1360,0.4177,0.2571,0.9167,0.0068,0.7273,1.0,1.0,2.0569,1.0414,1.1461,0.0833,0.257
498,527,704,97,64,68984,53,1358,0.6613,0.3131,0.7619,0.0243,0.5156,0.5625,0.0,2.8482,1.5185,1.5563,-0.2381,0.9231
1068,1085,131,29,16,15643,119,1364,0.4091,0.6389,0.6956,0.0139,0.6552,0.75,0.0,2.1173,1.2787,1.1139,-0.3043,0.6079
875,898,192,32,26,21321,105,1362,0.8792,0.3987,0.5,0.011,0.4688,1.0,1.0,2.2878,1.1761,1.415,0.5,0.6453
852,860,16,6,4,1961,97,1358,0.732,0.4286,0.5714,0.0044,1.0,1.0,0.0,1.2041,0.7782,0.6021,-0.4286,0.1384
1287,1322,1275,106,102,131937,104,1362,0.0325,0.6282,0.3235,0.031,0.2906,0.9302,1.0,3.0938,1.6233,2.0086,0.6765,1.0
79,101,1035,98,63,1095577,106,1354,0.0553,0.6732,0.3529,0.0169,0.2973,0.8182,1.0,3.0457,1.3617,1.6721,0.6471,1.0
